artist_id,artist_name,followers,popularity,genres,num_genres
2ZAQz04JE7xv5QmkrR5XtL,Boyle,394,28,,0
4dvZ0abeUaiHm7Fu9Gj0PQ,Eptic,199303,47,"dubstep, riddim, bass music, deathstep, bass house, dub",6
1runhgZ4PyzxBhg0Nrc1F8,Tiee,793448,62,"pagode, samba",2
591yCCsZCLXvaJ0Rg38vLZ,Senses Fail,476716,56,"post-hardcore, screamo, emo, emo pop, pop punk, emocore",6
2Gzy8TYJ5xrEMDyUjZuDsK,Masicka,464213,60,"dancehall, soca, riddim",3
5XMnJOQbE6OuOvcV8fn3Wg,Dave Wang,267373,55,"cantopop, mandopop, c-pop, taiwanese pop",4
1ZpDxqXS6HAvoZyCzQfKRb,LEVEL UP,52038,48,"riddim, dubstep, deathstep, edm",4
5m8H6zSadhu1j9Yi04VLqD,Sly & The Family Stone,1057077,58,"motown, funk, funk rock, soul",4
0FC1LIeQXKib0jOwZqeIwT,Brett Dennen,198358,49,,0
37mqXU98U5GmH5ZDtlHM1c,Matheus Fernandes,891613,67,"piseiro, sertanejo, pagode, forró, arrocha",5
46UMQ0cW8ToR8egkBRwAxZ,Cynthia Erivo,470676,73,musicals,1
3Uobr6LgQpBbk6k4QGAb3V,I Prevail,1704807,70,"metalcore, metal",2
41iVQ05he8SrfIWbZQ58N7,Matrix & Futurebound,52595,48,"drum and bass, liquid funk",2
1WjBIvYAnZTkTh5UiZNwlR,Oliver Koletzki,357735,55,"organic house, minimal techno, melodic techno",3
3DiDSECUqqY1AuBP8qtaIa,Alicia Keys,12544584,80,"r&b, neo soul",2
1DgmdsnwOexqTH8ohPCFAU,Volumes,195375,50,"djent, metalcore, progressive metal, post-hardcore, deathcore",5
3M4ThdJR28z9eSMcQHAZ5G,The Fratellis,892070,62,,0
7E3BRXV9ZbCt5lQTCXMTia,Ólafur Arnalds,854788,65,"neoclassical, minimalism",2
6k8mwkKJKKjBILo7ypBspl,Ana Mena,1032385,67,,0
1THj0JI7zld7YDsWERcSUz,Isaias Saad,1261732,65,"gospel, brazilian evangelical music, worship, devotional",4
3TaUSUXn41GixL7zbvrIDt,A-Trak,137414,65,disco house,1
1QL7yTHrdahRMpvNtn6rI2,George Frideric Handel,960828,67,"classical, choral, opera",3
2hwy5DELim1AxB1sHPqn4y,Gotts Street Park,108262,66,,0
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,45903253,89,pop,1
1gWjcmBsveEYMxOZ0VRi32,Original Koffee,763988,60,"dancehall, afrobeats, reggae, afrobeat",4
7y1rjd6v5ixSJoOKNcRUYg,FIT Siegel,1344,10,,0
7pDBRy9uWy1zq5b0uXIABQ,Nu:Tone,52946,46,"liquid funk, drum and bass, jungle",3
0ebinq3ZTOQAJNag4sBTJj,BiSH,398545,51,"anime, j-rock, j-pop",3
7ipwVPuLHQUfpP4wRmj1nn,ZaZa,36944,24,,0
7hJcb9fa4alzcOq3EaNPoG,Snoop Dogg,14627545,84,"g-funk, west coast hip hop, gangster rap, hip hop, rap",5
4uN3DsfENc7dp0OLO0FEIb,Sugar Ray,1019291,65,,0
55FVjkpZs1zuo3zqBgrKtC,Kaivon,102957,48,"future bass, melodic bass, edm",3
1jH3GuQCPI87UrS0hcScHr,Paul Baloche,165118,47,"worship, christian, ccm",3
26WKgv73kRHD0gEDKD1i8j,Keinemusik,452096,76,"afro house, melodic house, house",3
4NqS7DbPFYwZmniGHCPMpm,Nature Sounds,105987,63,,0
64tNsm6TnZe2zpcMVMOoHL,Alice In Chains,5777306,78,"grunge, post-grunge",2
1zrqDVuh55auIRthalFdXp,alva noto,97105,41,"drone, glitch, ambient, idm, minimalism, experimental, dark ambient",7
3b0TLzX6FkeQvv9daBtFBe,Goson,6990,54,"lo-fi, lo-fi beats",2
4gH1d6uZiIbhiUUJoHsd8f,Kreisligalegende,25614,53,"schlagerparty, schlager",2
0Riv2KnFcLZA3JSVryRg4y,Sawano Hiroyuki,671616,70,"anime, soundtrack",2
4mO4aGO6u29UyR6XLZR9XW,The New Pornographers,209623,45,"power pop, chamber pop, indie rock, indie",4
2yEwvVSSSUkcLeSTNyHKh8,TOOL,4212756,73,"progressive metal, alternative metal, progressive rock, metal",4
0weRgqZe3gYUVpDJK4FigV,Solo Tango Orquesta,8267,33,tango,1
4Te1MOr4Y7E4lMvaeuyEjR,Gowry Lekshmi,367030,53,"mollywood, malayalam pop, malayalam hip hop",3
6Nc4yKjzBWhMAxvw5JOy1o,Ahoora,134,0,,0
4ITkqBlf5eoVCOFwsJCnqo,Harrdy Sandhu,9080655,67,"punjabi pop, bhangra, desi pop, desi, hindi pop, bollywood",6
6sOEMfvCfHQ9dhSWyamXVb,Nils Hoffmann,72471,59,"melodic house, minimal techno, melodic techno, deep house",4
1mb1jSIxkVsOh94YMNGMmF,MAKAVELI MOTIVATION,38563,46,,0
7faolmVD4RMkmZ84Zv18Cj,Dog Music,12617,57,,0
6llL2cv7SDY7OnpzCQu8Pf,ONYVAA,11854,16,"techno, acid techno, dub techno",3
459INk8vcC0ebEef82WjIK,Erik Satie,908248,67,"classical piano, classical",2
4cxzGdmQtUZJL1WYOdFQ5F,Kove,39034,42,"drum and bass, liquid funk",2
1rxk3vAYWeiBD2Q6FCezcl,Miriam Yeung,426398,52,"cantopop, c-pop, mandopop",3
66ihevNkSYNzRAl44dx6jJ,Carin Leon,15790062,86,"banda, norteño, sierreño, corrido, grupera, ranchera, sad sierreño, música mexicana",8
47zz7sob9NUcODy0BTDvKx,Sade,4680676,78,,0
2VIdKQmRHnWofsR4odfFOh,Maurizio Pollini,76479,59,"classical piano, classical",2
2Pfv2w8a20xzC7Dr7QXRqM,Mudvayne,2024226,61,"nu metal, alternative metal, rap metal, metal",4
1huEHiP7LUQ8QJHXbzrtDu,Die Atzen,168744,58,"schlagerparty, schlager",2
6MqSpEX458gcEDjpWwhDJd,Darrell McCall,6389,21,"honky tonk, traditional country",2
5rrmaoBXZ7Jcs4Qb77j0YA,Djavan,3378575,71,"mpb, bossa nova",2
1yzgJmZf5CxtFfGfRFm4Si,Gajendra Verma,3507361,64,"hindi pop, bollywood",2
1GDbiv3spRmZ1XdM1jQbT7,NATTI NATASHA,10759736,75,"reggaeton, latin, urbano latino",3
4YKJN54BF6iP4IEPvAUU2n,Bril,24454,42,"jersey club, philly club",2
6D5qrT7NQXcdvFTtCJNszl,Kelpe,31232,27,idm,1
13CLZBR9RbwxLXRyh5m3MC,Greg Maroney,26297,44,new age,1
2YohShuz0Lf4i09lImCR5r,Georg Erixon,5512,50,,0
